;;;;;;;;;
;atmID;atmName;atmAddress;zipCode;city;country;latitude;longitude;currency
;NOR51152;Karl Johans gate ;Karl Johans gate 27-31;0021;Oslo;Norway;59.913649;10.740151;NOK, EUR
;NOR51153;Karl Johans gate ;Karl Johans gate 27-31;0021;Oslo;Norway;59.913649;10.740151;NOK, EUR, USD (Døgnåpen)
;NOR51154;Kongsberg ;Storgt.16-18;3611;Kongsberg;Norway;59.669301;9.651011;NOK, EUR (Døgnåpen)
;NOR51155;Kongsvinger ;Storgata 40;2213;Kongsvinger;Norway;60.192887;12.000534;NOK, SEK, EUR Døgnåpen)
;NOR51156;Kopperud ;Kalkveien 11;2818;Gjøvik;Norway;60.776405;10.675433;NOK
;NOR51157;Kristiansand S ;Markens gt. 19;4611;Kristiansand;Norway;58.144996;7.993779;NOK, DKK, EUR
;NOR51158;Lande ;Tunevn.1a;1710;Sarpsborg;Norway;59.290883;11.097367;NOK
;NOR51159;Larvik ;Sanden 1;3264;Larvik;Norway;59.050962;10.023056;NOK, SEK,GBP,USD
;NOR51160;Larvik ;Sanden 1;3264;Larvik;Norway;59.050962;10.023056;NOK, DKK, EUR (Døgnåpen)
;NOR51161;Lierbyen ;Hegsbroveien 52;3400;Lier;Norway;59.786109;10.245172;NOK, EUR (Døgnåpen)
;NOR51162;Lillehammer ;Kirkegaten 72-74;2609;Lillehammer;Norway;61.115897;10.462545;NOK, EUR (Døgnåpen)
;NOR51163;Lillestrøm ;Kirkegaten 1;2000;Lillestrøm;Norway;59.954938;11.046050;NOK, EUR
;NOR51164;Lillestrøm ;Kirkegaten 1;2000;Lillestrøm;Norway;59.954938;11.046050;NOK
;NOR51165;Måløy ;Sjøgata;6701;Måløy;Norway;61.930786;5.112569;NOK, EUR
;NOR51166;Majorstuen ;Kirkeveien 59;0366;Oslo;Norway;59.929009;10.716380;NOK, EUR, Døgnåpen)
;NOR51167;Moss ;Dronningensgate 19;1530;Moss;Norway;59.435594;10.662397;NOK, SEK
;NOR51168;Moss ;Dronningensgate 19;1530;Moss;Norway;59.435594;10.662397;NOK, EUR (Døgnåpen)
;NOR51169;Nøtterøy ;Ørsnesalleen 33;3120;Tønsberg;Norway;59.252117;10.417429;NOK, EUR (Døgnåpen)
;NOR51170;Nanset ;Nansetgt 91;3269;Larvik;Norway;59.064794;10.039934;NOK, EUR (Døgnåpen)
;NOR51171;Nesttun ;Østre Nesttunvei 2;5221;Nesttun;Norway;60.319151;5.353570;NOK (Døgnåpen)
;NOR51172;Nytorget ;Nytorget;3616;Kongsberg;Norway;59.663924;9.647320;NOK (Døgnåpen)
;NOR51173;Oasen Senter ;Folke Bernadottes vei 52;5147;Fyllingsdalen;Norway;60.349156;5.291106;NOK, EUR
;NOR51174;Ottatunet Senter ;Ottatunet, Johan Nygårdsgate 12;2670;Otta;Norway;61.771999;9.540484;NOK,EUR (Døgnåpen)
;NOR51175;Paleet senter ;Grev Wedels gate 44;3179;Åsgårdstrand;Norway;59.349699;10.461232;NOK, EUR (Døgnåpen)
;NOR51176;Porsgrunn ;Storgata 141;3915;Porsgrunn;Norway;59.140350;9.654571;NOK, EUR (Døgnåpen)
;NOR51177;Rådal ;Laguneveien 7;5239;Rådal;Norway;60.295330;5.326546;NOK, EUR (Døgnåpen)
;NOR51178;Råholt ;Gladbakkveien 2c;2071;Råholt;Norway;60.281259;11.172563;NOK, EUR (Døgnåpen)
;NOR51179;RIMI, Hunndalen ;Raufossveien 223;2827;Hunndalen;Norway;60.785801;10.641401;NOK (Døgnåpen)
;NOR51180;Revetal ;Revetal Torvet;3174;Revetal;Norway;59.371374;10.266562;NOK, EUR (Døgnåpen)
;NOR51181;Rikshospitalet ;Sognsvannsvn. 20;0027;Oslo;Norway;59.947429;10.714449;NOK (Døgnåpen)
;NOR51182;Rodeløkka ;Dælenengata 3;0567;Oslo;Norway;59.925660;10.774707;NOK
;NOR51183;Sandefjord ;Rådhusgaten 15;3211;Sandefjord;Norway;59.131568;10.222892;GBP, EUR, USD, DKK
;NOR51184;Sandefjord ;Rådhusgaten 15;3211;Sandefjord;Norway;59.131568;10.222892;NOK, SEK (Døgnåpen)
;NOR51185;Sandnes ;Langgata 2d;4306;Sandnes;Norway;58.850560;5.731814;NOK, EUR, USD (Døgnåpen)
;NOR51186;Sandvika ;Leif Tronstads plass 6;1337;Sandvika;Norway;59.892923;10.523708;NOK, EUR (Døgnåpen)
;NOR51187;Sarpsborg ;Torggata 6;1707;Sarpsborg;Norway;59.284188;11.112471;NOK, SEK (Døgnåpen)
;NOR51188;Sarpsborg ;Torggata 6;1707;Sarpsborg;Norway;59.284188;11.112471;NOK, DKK, EUR, GBP, USD
;NOR51189;Ski ;Kirkeveien 1;1400;Ski;Norway;59.720453;10.836792;NOK, EUR, SEK
;NOR51190;Skien ;Hesselbergsgate 4;3717;Skien;Norway;59.209236;9.606714;NOK, EUR (Døgnåpen)
;NOR51191;Solheimsviken ;Solheimsgaten 7C;5058;Bergen;Norway;60.377735;5.331709;NOK, GBP, EUR (Døgnåpen)
;NOR51192;Sotra ;Bildøyvegen 11;5353;Straume;Norway;60.357554;5.122857;NOK, EUR (Døgnåpen)
;NOR51193;Statoil Rundtom ;Rundtom 2;3041;Drammen;Norway;59.729774;10.224385;NOK (Døgnåpen)
;NOR51194;Stavanger ;Haakon VII's gt 9;4005;Stavanger;Norway;58.969253;5.730015;NOK (Døgnåpen)
;NOR51195;Stavanger ;Haakon VII's gt 9;4005;Stavanger;Norway;58.969253;5.730015;USD, EUR, GBP, DKK (Døgnåpen)
;NOR51196;Stord ;Heiane 31;5401;Stord;Norway;59.763080;5.454659;NOK, EUR (Døgnåpen)
;NOR51197;Storgata ;Storgt.56;2609;Lillehammer;Norway;61.114827;10.466304;NOK, EUR (Døgnåpen)
;NOR51198;Storo ;Vitaminveien 6;0485;Oslo;Norway;59.945724;10.774833;NOK, EUR
;NOR51199;Stovner Senter ;Stovner Senter 3;0985;Oslo;Norway;59.961193;10.924995;NOK, EUR
;NOR51200;Strømsø ;Tollbugt 13;3044;Drammen;Norway;59.738807;10.205084;NOK
;NOR51201;Strandtorget Senter ;Sliperivegen 2a;2609;Lillehammer;Norway;61.114479;10.452187;NOK, EUR
;NOR51202;Sykehuset i Vestfold ;Halfdan Wilhelmsens allé;3116;Tønsberg;Norway;59.272071;10.414781;NOK (Døgnåpen)
;NOR51203;Tønsberg ;Møllegaten 9;3111;Tønsberg;Norway;59.269273;10.408600;NOK, EUR (Døgnåpen)
;NOR51204;Torgalmenningen ;Torgallmenningen 2;5020;Bergen;Norway;60.393700;5.325543;NOK
;NOR51205;Torgalmenningen ;Torgallmenningen 2;5020;Bergen;Norway;60.393700;5.325543;EUR, USD, GBP, DKK
;NOR51206;Tuvensenteret ;Tuvenbøygen 2;3676;Notodden;Norway;59.566260;9.222044;NOK, EUR
;NOR51207;Vaterland, Grønland ;Schweigaards gt.10;0190;Oslo;Norway;59.911680;10.758148;NOK,DKK (Døgnåpen)
