StoreCode	Name	Address	City	State	CountryCode	PostalCode	MainPhone	HomePage	Hours	Categories	Description	Latitude	Longitude	c:ohSummer	c:ohHoliday	c:currencies	c:summerTime	c:summerTime2	c:ohSummer2
125263	Sand&oslash;y Handelslag	HAMNEV&Aring;GEN 41	SAND&Oslash;Y	M&Oslash;RE OG ROMSDAL	NO	6484		https://www.dnb.no		postal		62.8201966407672	6.57744083185953						
125268	Bunnpris Kvenv&aelig;r	VESTHITTERVEIEN 662	KVENV&AElig;R	S&Oslash;R-TR&Oslash;NDELAG	NO	7243		https://www.dnb.no		postal		63.5334582795988	8.38983652815994						
125269	Joker Knarrlagsund	BERGET	KNARRLAGSUND	S&Oslash;R-TR&Oslash;NDELAG	NO	7242		https://www.dnb.no		postal		63.663632717722	9.07745086089623						
125270	Joker Hasselvika	HASSELVIKVEIEN 964	HASSELVIKA	S&Oslash;R-TR&Oslash;NDELAG	NO	7112		https://www.dnb.no		postal		63.6327290426459	9.82886855003303						
125275	E. Hopstads Enke	BESSAKERSJ&Oslash;VEIEN 37	BESSAKER	S&Oslash;R-TR&Oslash;NDELAG	NO	7190		https://www.dnb.no		postal		64.247500148658	10.3196052268654						
125279	Coop Marked Rye	SPONGDALSVEGEN 28	BOSBERG	S&Oslash;R-TR&Oslash;NDELAG	NO	7070		https://www.dnb.no		postal		63.4225853234023	10.1492472501744						
125281	Coop Marked Hamarvik	SAMVIRKEVEIEN 38	HAMARVIK	S&Oslash;R-TR&Oslash;NDELAG	NO	7263		https://www.dnb.no		postal		63.698482026193	8.80580800821741						
125282	Coop Marked Nordskag	NORDSKAG	KVERVA	S&Oslash;R-TR&Oslash;NDELAG	NO	7266		https://www.dnb.no		postal		63.7056075815729	8.56291164381126						
125284	Coop Marked Dyr&oslash;y	SETRA	NORDDYR&Oslash;Y	S&Oslash;R-TR&Oslash;NDELAG	NO	7273		https://www.dnb.no		postal		63.7977875133314	8.68236556256831						
125285	Coop Marked Stor&aring;s	ELVADALEN 1	STOR&Aring;S	S&Oslash;R-TR&Oslash;NDELAG	NO	7334		https://www.dnb.no		postal		63.0962071416579	9.5995169006974						
125289	Coop Marked Skaun	SKAUNAVEGEN 920	SKAUN	S&Oslash;R-TR&Oslash;NDELAG	NO	7357		https://www.dnb.no		postal		63.2511032648999	10.0538120099979						
125293	Stoksund Handelskompagni	STOKKSUNDVEIEN 1324	REVSNES	S&Oslash;R-TR&Oslash;NDELAG	NO	7177		https://www.dnb.no		postal		64.0383528428491	10.0555750265225						
125296	Rennebu Nedre Handel	VOLL	RENNEBU	S&Oslash;R-TR&Oslash;NDELAG	NO	7393		https://www.dnb.no		postal		62.8732124061658	9.8431441801822						
125298	Coop Marked Vallersund	J&Oslash;SSUNDVEIEN 34	VALLERSUND	S&Oslash;R-TR&Oslash;NDELAG	NO	7167		https://www.dnb.no		postal		63.8511213207314	9.75603847757774						
125301	Coop Marked Storfosna	VEDBERGSODDEN 4	STORFOSNA	S&Oslash;R-TR&Oslash;NDELAG	NO	7150		https://www.dnb.no		postal		63.6591771520781	9.41032373857671						
125329	Coop Marked Mausund	MAUSUNDV&AElig;R	MAUSUND	S&Oslash;R-TR&Oslash;NDELAG	NO	7284		https://www.dnb.no		postal		63.8680411604628	8.66414662424645						
125332	Ole P. Fj&aelig;r	ALEXANDRA SVERDRUPS VEG 2	OTTERS&Oslash;Y	NORD-TR&Oslash;NDELAG	NO	7940		https://www.dnb.no		postal		64.8599238481156	11.2878932950112						
125333	Joker Austafjord	AUSTAFJORD	R&Oslash;RVIK	NORD-TR&Oslash;NDELAG	NO	7900		https://www.dnb.no		postal		64.9166168145566	10.9395690706707						
125337	Coop Marked R&aring;kv&aring;g	PRANGVEIEN 9	R&Aring;KV&Aring;G	S&Oslash;R-TR&Oslash;NDELAG	NO	7114		https://www.dnb.no		postal		63.7615900576647	10.0688118332222						
125339	Joker Dolm&oslash;y	KJERRINGV&Aring;GVEIEN 33	DOLM&Oslash;Y	S&Oslash;R-TR&Oslash;NDELAG	NO	7252		https://www.dnb.no		postal		63.6540122260714	8.77658822896606						
125346	Spar Valder&oslash;y	S&Oslash;RE SKARET	VALDER&Oslash;YA	M&Oslash;RE OG ROMSDAL	NO	6050		https://www.dnb.no		postal		62.5089750662093	6.12848285145423						
125349	Coop Prix &Aring;fjord	&Aring;VEGEN 9 A	&Aring;FJORD	S&Oslash;R-TR&Oslash;NDELAG	NO	7170		https://www.dnb.no		postal		63.9654886425743	10.2159369623882						
125360	Coop Marked Gl&aring;mos	GL&Aring;MOS	GL&Aring;MOS	S&Oslash;R-TR&Oslash;NDELAG	NO	7372		https://www.dnb.no		postal		62.6737081921499	11.4189847660062						
125363	Joker Ilamat	OSLOVEIEN 12	TRONDHEIM	S&Oslash;R-TR&Oslash;NDELAG	NO	7017		https://www.dnb.no		postal		63.4269072259166	10.3694598517994						
125370	Spar &Aring;se	&Oslash;VRE GEILEGREND 1	&Aring;LESUND	M&Oslash;RE OG ROMSDAL	NO	6017		https://www.dnb.no		postal		62.4643850347405	6.31720153237259						
125377	Coop Marked Tustna	LEIRA	TUSTNA	M&Oslash;RE OG ROMSDAL	NO	6590		https://www.dnb.no		postal		63.2066248679616	8.04248864385926						
125379	Coop Marked Harran	NAMSENVEGEN 1517	HARRAN	NORD-TR&Oslash;NDELAG	NO	7873		https://www.dnb.no		postal		64.5611797716186	12.4931756608429						
125381	Matkroken Meisingset		MEISINGSET	M&Oslash;RE OG ROMSDAL	NO	6628		https://www.dnb.no		postal		62.8517745584423	8.28992415556465						
125383	Bunnpris Straumgjerde	SYKKYLVSVEGEN 1038	STRAUMGJERDE	M&Oslash;RE OG ROMSDAL	NO	6220		https://www.dnb.no		postal		62.3331884515129	6.59432963504755						
125386	Coop Prix Kattem	UST&Aring;SEN 2	KATTEM	S&Oslash;R-TR&Oslash;NDELAG	NO	7082		https://www.dnb.no		postal		63.34598595956	10.3350606509271						
125387	Coop Prix Rindal	RINDALSVEGEN 15 A	RINDAL	M&Oslash;RE OG ROMSDAL	NO	6657		https://www.dnb.no		postal		63.054616615351	9.21268283849855						
125388	Coop Marked Rindalsskogen	NYB&Oslash;	RINDALSSKOGEN	M&Oslash;RE OG ROMSDAL	NO	6658		https://www.dnb.no		postal		63.0993359860663	9.32333269485381						
125390	Bunnpris Lerkendal	DYBDAHLS VEG 5	TRONDHEIM	S&Oslash;R-TR&Oslash;NDELAG	NO	7051		https://www.dnb.no		postal		63.4133975295395	10.4141811790689						
125392	Bunnpris &Aring;r&oslash;	EIKREMSVINGEN 2 A	MOLDE	M&Oslash;RE OG ROMSDAL	NO	6422		https://www.dnb.no		postal		62.7471765893469	7.25215047099452						
125393	Mix Molosenteret		&Aring;FARNES	M&Oslash;RE OG ROMSDAL	NO	6360		https://www.dnb.no		postal		62.6638729857477	7.50406396229022						
125395	Coop Prix Hopen	HOPEN	SM&Oslash;LA	M&Oslash;RE OG ROMSDAL	NO	6570		https://www.dnb.no		postal		63.4596450578458	8.01605786501611						
125396	Bunnpris Brunsvika	STORSKARVEN 2	KRISTIANSUND N	M&Oslash;RE OG ROMSDAL	NO	6514		https://www.dnb.no		postal		63.1223527999399	7.7141208027418						
125397	Coop Prix Vanvikan	HAVNEGATA 1	VANVIKAN	NORD-TR&Oslash;NDELAG	NO	7125		https://www.dnb.no		postal		63.5535193107742	10.2222021162829						
125400	Bunnpris Asp&oslash;ya	FJORDSENTERET	&Oslash;YDEGARD	M&Oslash;RE OG ROMSDAL	NO	6670		https://www.dnb.no		postal		63.0110780759362	7.97652900424938						
