StoreCode	Name	Address	City	State	CountryCode	PostalCode	MainPhone	HomePage	Hours	Categories	Description	Latitude	Longitude	c:ohSummer	c:ohHoliday	c:currencies	c:summerTime	c:summerTime2	c:ohSummer2	DescriptionEN
DNB159	DNB H&oslash;nefoss	Kvernberggata 5	H&Oslash;NEFOSS	BUSKERUD	NO	3510		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Innskuddsautomat seddel og mynt<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	60.16517639	10.25697612	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Automated deposit machine<br/>Coin roll dispenser<br/>Corporate advisors<br/>ATM<br/>Real estate <br/> <br/> <br/><br/> 
DNB49	DNB Kongsberg	Storgata 16-18	KONGSBERG	BUSKERUD	NO	3611		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Innskuddsautomat seddel og mynt<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	59.66930007	9.651011467	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Automated deposit machine<br/>Coin roll dispenser<br/>Corporate advisors<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
DNB9	DNB Alta	L&oslash;kkeveien 41	ALTA	FINNMARK	NO	9509		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	69.96669769	23.2715187	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Coin roll dispenser<br/>Corporate advisors<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
DNB44	DNB Kongsvinger	Storgata 40	KONGSVINGER	HEDMARK	NO	2213		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Innskuddsautomat seddel<br/>Valuta i minibank: NOK, EUR, SEK<br/>DNB Eiendom	60.192935	12.000546	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Automated deposit machine banknote<br/>Currency in ATM: EUR, GBP, DKK, USD<br/>Real estate<br/> <br/> <br/><br/> 
DNB60	DNB Hamar	Vangsvegen 70	HAMAR	HEDMARK	NO	2317		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Innskuddsautomat seddel<br/>Bedriftsr&aring;dgivere<br/>Myntrullveksler<br/>Minibank<br/>DNB Eiendom	60.796405	11.080835	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Automated deposit machine banknote<br/>Corporate advisors<br/>Coin roll dispenser<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
DNB6	DNB Sotra	Bild&oslash;yvegen 11	STRAUME	HORDALAND	NO	5353		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	60.357692	5.122825	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Corporate advisors<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
DNB93	DNB Stord	Heiane 31	STORD	HORDALAND	NO	5412		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	59.763041	5.454648	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Corporate advisors<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
DNB21	DNB Laguneparken	Laguneveien 7	R&Aring;DAL	HORDALAND	NO	5239		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Innskuddsautomat seddel<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	60.29537582	5.32646799	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Automated deposit machine banknote<br/>Coin roll dispenser<br/>Corporate advisors<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
DNB155	DNB Bergen	Torgalmenningen 2	BERGEN	HORDALAND	NO	5020		https://www.dnb.no	2:09:00:17:00,3:09:00:17:00,4:09:00:17:00,5:09:00:17:00,6:09:00:17:00,7:10:00:15:00	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Innskuddsautomat seddel og mynt<br/>Myntrullveksler<br/>Minibank<br/>DNB Eiendom	60.39376449	5.325402259	2:09:00:17:00,3:09:00:17:00,4:09:00:17:00,5:09:00:17:00,6:09:00:17:00,7:10:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:0		0515-0831			Advisory centre without cash <br/>Automated deposit machine<br/>Coin roll dispenser<br/>Corporate advisors<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
DNB2	DNB &Aring;sane	&Aring;sane senter	ULSET	HORDALAND	NO	5116		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Innskuddsautomat seddel og mynt<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	60.4653778	5.322063446	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Automated deposit machine<br/>Coin roll dispenser<br/>Corporate advisors<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
