StoreCode	Name	Address	City	State	CountryCode	PostalCode	MainPhone	HomePage	Hours	Categories	Description	Latitude	Longitude	c:ohSummer	c:ohHoliday	c:currencies	c:summerTime	c:summerTime2	c:ohSummer2	DescriptionEN
MB149	Dr&oslash;bak	Holterveien 2	DR&Oslash;BAK	AKERSHUS	NO	1440		https://www.dnb.no		ATM		59.674372	10.657272			NOK, EUR, SEK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB65	D&oslash;vlesenteret	D&oslash;vlebygget, Semsbyvn. 81	SEM	VESTFOLD	NO	3170		https://www.dnb.no		ATM		59.28270721	10.33154392			NOK, EUR				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB196	Eiendom Bergen	Bryggesporen 1	BERGEN	HORDALAND	NO	5014		https://www.dnb.no		ATM		60.395453	5.326311			NOK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB152	Fagernes	Jernbanevegen 5	FAGERNES	OPPLAND	NO	2900		https://www.dnb.no		ATM		60.9860101	9.2341342			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB38	Fornebu	Forneburingen 209	OSLO	AKERSHUS	NO	1364		https://www.dnb.no		ATM		59.896014	10.621346			NOK, EUR, USD (D&oslash;gn&aring;pen)				<br/><br/> <br/> <br/> <br/> <br/> <br/> 
MB45	Fornebu senter	Snar&oslash;yveien 55	FORNEBU	AKERSHUS	NO	1364		https://www.dnb.no	2:07:00:22:00,3:07:00:22:00,4:07:00:22:00,5:07:00:22:00,6:07:00:22:00,7:08:00:19:00	ATM		59.891962	10.626284			NOK 				<br/> <br/> <br/> <br/> <br/> 
MB156	Fredrikstad	Nyg&aring;rdsgaten 55	FREDRIKSTAD	&Oslash;STFOLD	NO	1607		https://www.dnb.no	2:09:00:17:00,3:09:00:17:00,4:09:00:17:00,5:09:00:17:00,6:09:00:15:30,7:09:00:15:00	ATM		59.21350479	10.93764019	2:09:00:17:00,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30		NOK, GBP				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB157	Fredrikstad	Nyg&aring;rdsgaten 55	FREDRIKSTAD	&Oslash;STFOLD	NO	1607		https://www.dnb.no		ATM		59.21350479	10.93764019			NOK, EUR, SEK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB158	Fredrikstad	Nyg&aring;rdsgaten 55	FREDRIKSTAD	&Oslash;STFOLD	NO	1607		https://www.dnb.no		ATM		59.21350479	10.93764019			NOK, USD, DKK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB155	F&oslash;rde	Storehagen 1		SOGN OG FJORDANE	NO	6800		https://www.dnb.no		ATM		61.452152	5.855005			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB66	Galleriet Bergen	Torgallmenningen 7	BERGEN	HORDALAND	NO	5014		https://www.dnb.no	2:09:00:21:00,3:09:00:21:00,4:09:00:21:00,5:09:00:21:00,6:09:00:21:00,7:09:00:18:00	ATM		60.3929276	5.3246161	2:09:00:21:00,3:09:00:21:00,4:09:00:21:00,5:09:00:21:00,6:09:00:21:00,7:09:00:18:00		NOK				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB206	Gj&oslash;vik	Fahlstr&oslash;m Plass 1	GJ&Oslash;VIK	OPPLAND	NO	2815		https://www.dnb.no		ATM		60.7959249	10.6904798			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB207	Gran	Storgt. 21	GRAN	OPPLAND	NO	2750		https://www.dnb.no		ATM		60.3575229	10.5722328			NOK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB212	Grimstad	Henrik Ibsensgt. 12	GRIMSTAD	AUST-AGDER	NO	4876		https://www.dnb.no		ATM		58.341171	8.5945544			NOK, EUR, DKK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB213	Gvarv	Gvarvgata 45	GVARV	TELEMARK	NO	3810		https://www.dnb.no		ATM		59.387977	9.175322			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB263	Hamar	Vangsvegen 70	HAMAR	HEDMARK	NO	2317		https://www.dnb.no		ATM		60.7935994	11.0725257			NOK, EUR (D&oslash;gn&aring;pen				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB88	Hamar Stadion	Vangsvegen 62	HAMAR	HEDMARK	NO	2317		https://www.dnb.no	2:10:00:21:00,3:10:00:21:00,4:10:00:21:00,5:10:00:21:00,6:10:00:21:00,7:10:00:18:00	ATM		60.795223	11.078671			NOK, EUR				<br/> <br/> <br/> <br/> <br/> 
MB216	Harstad	Sj&oslash;gata 5	HARSTAD	TROMS	NO	9480		https://www.dnb.no		ATM		68.8057681	16.5408013			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB68	Haugesund	Haraldsgate 125	HAUGESUND	ROGALAND	NO	5525		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	ATM		59.412269	5.270133	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30		NOK, GBP, EUR				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB21	Haugesund	Haraldsgate 125	HAUGESUND	ROGALAND	NO	5525		https://www.dnb.no		ATM		59.412269	5.270133			NOK, EUR (D&oslash;gn&aring;pen)				<br/><br/> <br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB264	Haukeland Universitetssykehus	Jonas Liesveg 65	BERGEN	HORDALAND	NO	5053		https://www.dnb.no		ATM		60.3743202	5.3541082			NOK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB198	Heimdal	Heimdalsveien 3	T&Oslash;NSBERG	VESTFOLD	NO	3117		https://www.dnb.no		ATM		59.2744209	10.4253129			NOK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
